filepath,x1,y1,x2,y2,class
./data/train_images/Arson007_x264-2250.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2251.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2252.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2253.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2254.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2255.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2256.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2257.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2258.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2259.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2260.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2261.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2262.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2263.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2264.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2265.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2266.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2267.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2268.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2269.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2270.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2271.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2272.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2273.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2274.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2275.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2276.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2277.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2278.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2279.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2280.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2281.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2282.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2283.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2284.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2285.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2286.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2287.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2288.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2289.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2290.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2291.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2292.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2293.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2294.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2295.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2296.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2297.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2298.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2299.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2300.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2301.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2302.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2303.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2304.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2305.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2306.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2307.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2308.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2309.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2310.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2311.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2312.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2313.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2314.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2315.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2316.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2317.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2318.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2319.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2320.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2321.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2322.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2323.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2324.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2325.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2326.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2327.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2328.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2329.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2330.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2331.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2332.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2333.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2334.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2335.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2336.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2337.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2338.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2339.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2340.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2341.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2342.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2343.jpg,1,1,320,240,Arson
./data/train_images/Arson007_x264-2344.jpg,1,1,320,240,Arson
